Manin00g000010.1	Q93WI9	Protein HEADING DATE 3A (FT-like protein A)
Manin00g000020.1	Q9LNV9	Receptor-like protein 1 (AtRLP1) (Receptor of eMax)
Manin00g000030.1	Q8GZA8	Protein ULTRAPETALA 1
Manin00g000050.1	Q9SKU6	Pentatricopeptide repeat-containing protein At2g20710, mitochondrial
Manin00g000060.1	Q9SKK2	Receptor like protein 21 (AtRLP21)
Manin00g000070.1	Q9LNV9	Receptor-like protein 1 (AtRLP1) (Receptor of eMax)
Manin00g000080.1	Q9SKU6	Pentatricopeptide repeat-containing protein At2g20710, mitochondrial
Manin00g000090.1	Q9SKU6	Pentatricopeptide repeat-containing protein At2g20710, mitochondrial
Manin00g000100.1	Q1G3V9	EPIDERMAL PATTERNING FACTOR-like protein 8 (EPF-like protein 8) [Cleaved into: MEPFL8]
Manin00g000110.1	P51427	40S ribosomal protein S5-2 (AtRPS5A) (Protein ARABIDOPSIS MINUTE-LIKE 1)
Manin00g000120.1	P46302	40S ribosomal protein S28
Manin00g000130.1	Q1ACB3	Homogentisate solanesyltransferase, chloroplastic (AtHST) (EC 2.5.1.117) (Homogentisate phytyltransferase 2) (AtHPT2) (Vitamin E pathway gene 2-2 protein) (AtVTE2-2)
Manin00g000140.1	Q9M2G8	IQ domain-containing protein IQM6 (IQ motif-containing protein 6)
Manin00g000150.1	O49160	Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110) (p105)
Manin00g000160.1	F4J8K6	rRNA biogenesis protein RRP5 (AtRrp5) (Ribosomal RNA-processing protein 5)
Manin00g000170.1	Q9SEU4	Serine/arginine-rich SC35-like splicing factor SCL33 (At-SCL33) (AtSCL33) (SC35-like splicing factor 33) (Serine/arginine-rich splicing factor 33)
Manin00g000180.1	Q9FG08	Histone-lysine N-methyltransferase ATXR4 (EC 2.1.1.-) (Protein SET DOMAIN GROUP 38) (Trithorax-related protein 4) (TRX-related protein 4)
Manin00g000190.1	Q08891	Fatty acyl-CoA reductase 2, chloroplastic (AtFAR2) (EC 1.2.1.84) (Fatty acid reductase 2) (Male sterility protein 2)
Manin00g000200.1	Q08891	Fatty acyl-CoA reductase 2, chloroplastic (AtFAR2) (EC 1.2.1.84) (Fatty acid reductase 2) (Male sterility protein 2)
Manin00g000210.1	P48578	Serine/threonine-protein phosphatase PP2A-4 catalytic subunit (EC 3.1.3.16) (Protein phosphatase 2A isoform 4)
Manin00g000220.1	Q84W89	DEAD-box ATP-dependent RNA helicase 37 (EC 3.6.4.13)
Manin00g000230.1	Q9ZUZ6	Protein WHAT'S THIS FACTOR 9, mitochondrial
Manin00g000240.1	Q9M2F8	Carbon catabolite repressor protein 4 homolog 2 (CCR4 homolog 2) (EC 3.1.13.4)
Manin00g000240.2	Q9M2F8	Carbon catabolite repressor protein 4 homolog 2 (CCR4 homolog 2) (EC 3.1.13.4)
Manin00g000240.3	Q9M2F8	Carbon catabolite repressor protein 4 homolog 2 (CCR4 homolog 2) (EC 3.1.13.4)
Manin00g000250.1	Q43291	60S ribosomal protein L21-1
Manin00g000260.1	Q9FI66	Dirigent protein 3 (AtDIR3)
