Manin00g000010.1	IPR036610	PEBP-like superfamily
Manin00g000020.1	IPR001611	Leucine-rich repeat
Manin00g000030.1	IPR041370	Methyltransferase EEF1AKMT1/ZCCHC4
Manin00g000050.1	IPR002885	Pentatricopeptide repeat
Manin00g000050.1	IPR011990	Tetratricopeptide-like helical domain superfamily
Manin00g000060.1	IPR001611	Leucine-rich repeat
Manin00g000070.1	IPR001611	Leucine-rich repeat
Manin00g000070.1	IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
Manin00g000080.1	IPR002885	Pentatricopeptide repeat
Manin00g000080.1	IPR011990	Tetratricopeptide-like helical domain superfamily
Manin00g000080.1	IPR019734	Tetratricopeptide repeat
Manin00g000090.1	IPR002885	Pentatricopeptide repeat
Manin00g000110.1	IPR005716	Ribosomal protein S5/S7, eukaryotic/archaeal
Manin00g000110.1	IPR023798	Ribosomal protein S7 domain
Manin00g000110.1	IPR036823	Ribosomal protein S7 domain superfamily
Manin00g000120.1	IPR000289	Ribosomal protein S28e
Manin00g000120.1	IPR012340	Nucleic acid-binding, OB-fold
Manin00g000130.1	IPR000537	UbiA prenyltransferase family
Manin00g000150.1	IPR000717	Proteasome component (PCI) domain
Manin00g000150.1	IPR008905	Eukaryotic translation initiation factor 3 subunit C, N-terminal domain
Manin00g000150.1	IPR008979	Galactose-binding-like domain superfamily
Manin00g000150.1	IPR009244	Mediator complex, subunit Med7
Manin00g000150.1	IPR010325	Rhamnogalacturonate lyase
Manin00g000150.1	IPR011013	Galactose mutarotase-like domain superfamily
Manin00g000150.1	IPR013784	Carbohydrate-binding-like fold
Manin00g000150.1	IPR029411	Rhamnogalacturonan lyase, domain III
Manin00g000150.1	IPR029413	Rhamnogalacturonan lyase, domain II
Manin00g000150.1	IPR036390	Winged helix DNA-binding domain superfamily
Manin00g000150.1	IPR037212	Mediator complex, subunit Med7/Med21-like
Manin00g000160.1	IPR003029	S1 domain
Manin00g000160.1	IPR008847	Suppressor of forked
Manin00g000160.1	IPR011990	Tetratricopeptide-like helical domain superfamily
Manin00g000160.1	IPR012340	Nucleic acid-binding, OB-fold
Manin00g000170.1	IPR000504	RNA recognition motif domain
Manin00g000170.1	IPR035979	RNA-binding domain superfamily
Manin00g000180.1	IPR001214	SET domain
Manin00g000190.1	IPR013120	Fatty acyl-coenzyme A reductase, NAD-binding domain
Manin00g000190.1	IPR033640	Fatty acyl-CoA reductase, C-terminal
Manin00g000190.1	IPR036291	NAD(P)-binding domain superfamily
Manin00g000200.1	IPR013120	Fatty acyl-coenzyme A reductase, NAD-binding domain
Manin00g000210.1	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type
Manin00g000210.1	IPR029052	Metallo-dependent phosphatase-like
Manin00g000220.1	IPR001650	Helicase, C-terminal
Manin00g000220.1	IPR011545	DEAD/DEAH box helicase domain
Manin00g000220.1	IPR014001	Helicase superfamily 1/2, ATP-binding domain
Manin00g000220.1	IPR014014	RNA helicase, DEAD-box type, Q motif
Manin00g000220.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin00g000230.1	IPR021099	Plant organelle RNA recognition domain
Manin00g000240.1	IPR005135	Endonuclease/exonuclease/phosphatase
Manin00g000240.1	IPR036691	Endonuclease/exonuclease/phosphatase superfamily
